cellId*Ganzzahl	entrezId*Ganzzahl	expressionValue*Zahl
1	11643	8.0
1	11647	8.0
1	11648	8.0
1	11650	8.0
1	11651	8.0
1	11652	8.0
1	11655	8.0
1	11656	8.0
1	11657	8.0
1	11658	8.0
1	11666	8.0
1	11668	8.0
1	11669	8.0
1	11670	8.0
1	11671	8.0
1	11674	8.0
1	11676	8.0
1	11677	8.0
1	11682	8.0
1	11684	8.0
1	11685	8.0
1	11686	8.0
1	11687	8.0
1	11688	8.0
1	11689	8.0
1	11690	8.0
1	11691	8.0
1	11692	8.0
1	11694	8.0
1	11695	8.0
1	11697	8.0
1	11698	8.0
1	11699	8.0
1	11700	8.0
1	11701	8.0
1	11702	8.0
1	11704	8.0
1	11705	8.0
1	11717	8.0
1	11720	8.0
1	11722	8.0
1	11727	8.0
1	11728	8.0
1	11730	8.0
1	11731	8.0
1	11732	8.0
1	11733	8.0
1	11735	8.0
1	11736	8.0
1	11737	8.0
1	11739	8.0
1	11852	5.0
1	11853	3.0
1	11854	2.0
1	11855	5.0
1	11856	2.0
1	11857	3.0
1	11858	5.0
1	11859	4.0
1	11861	5.0
1	11863	2.0
1	11933	4.0
2	11287	3.0
2	11298	3.0
2	11302	2.0
2	11303	3.0
2	11304	4.0
2	11305	2.0
2	11306	5.0
2	11307	3.0
2	11308	4.0
2	11350	3.0
2	11739	8.0
2	11740	8.0
2	11743	8.0
2	11744	8.0
2	11745	8.0
2	11746	8.0
2	11747	8.0
2	11749	8.0
2	11750	8.0
2	11752	8.0
2	11753	8.0
2	11754	8.0
2	11757	8.0
2	11758	8.0
2	11761	8.0
2	11763	8.0
2	11764	8.0
2	11765	8.0
2	11766	8.0
2	11767	8.0
2	11768	8.0
2	11769	8.0
2	11770	8.0
2	11771	8.0
2	11772	8.0
2	11773	8.0
2	11774	8.0
2	11775	8.0
2	11776	8.0
2	11777	8.0
2	11778	8.0
2	11781	8.0
2	11782	8.0
2	11783	8.0
2	11784	8.0
2	11785	8.0
2	11787	8.0
2	11789	8.0
2	11790	8.0
2	11792	8.0
2	11793	8.0
2	11796	8.0
2	11797	8.0
2	11798	8.0
2	11799	8.0
2	11800	8.0
2	11801	8.0
2	11803	8.0
2	11804	8.0
2	11806	8.0
2	11807	8.0
2	11808	8.0
2	11810	8.0
2	11811	8.0
2	11812	8.0
2	11813	8.0
2	11814	8.0
2	11815	8.0
2	11816	8.0
2	11818	8.0
2	11819	8.0
2	11820	8.0
2	11821	8.0
2	11826	8.0
2	11827	8.0
2	11828	8.0
2	11829	8.0
2	11830	8.0
2	11831	8.0
2	11832	8.0
2	11833	8.0
2	11834	8.0
2	11835	8.0
2	11836	8.0
2	11837	8.0
2	11838	8.0
2	11839	8.0
2	11840	8.0
2	11841	8.0
2	11842	8.0
2	11843	8.0
2	11844	8.0
2	11845	8.0
2	11846	8.0
2	11847	8.0
2	11848	8.0
2	11849	8.0
2	11850	8.0
2	11851	8.0
2	11852	3.0
2	11853	2.0
2	11854	3.0
2	11855	5.0
2	11856	2.0
2	11857	3.0
2	11858	3.0
2	11859	5.0
2	11861	5.0
2	11863	4.0
2	11933	3.0
3	11287	3.0
3	11298	4.0
3	11302	2.0
3	11303	5.0
3	11304	2.0
3	11305	5.0
3	11306	5.0
3	11307	2.0
3	11308	3.0
3	11350	3.0
3	11352	8.0
3	11354	8.0
3	11358	8.0
3	11363	8.0
3	11364	8.0
3	11370	8.0
3	11409	8.0
3	11416	8.0
3	11418	8.0
3	11419	8.0
3	11421	8.0
3	11423	8.0
3	11425	8.0
3	11426	8.0
3	11428	8.0
3	11429	8.0
3	11430	8.0
3	11431	8.0
3	11432	8.0
3	11433	8.0
3	11434	8.0
3	11435	8.0
3	11438	8.0
3	11440	8.0
3	11441	8.0
3	11443	8.0
3	11444	8.0
3	11447	8.0
3	11448	8.0
3	11449	8.0
3	11450	8.0
3	11451	8.0
3	11452	8.0
3	11459	8.0
3	11461	8.0
3	11464	8.0
3	11465	8.0
3	11468	8.0
3	11470	8.0
3	11471	8.0
3	11472	8.0
3	11474	8.0
3	11475	8.0
3	11477	8.0
3	11479	8.0
3	11480	8.0
3	11481	8.0
3	11482	8.0
3	11484	8.0
3	11486	8.0
3	11487	8.0
3	11488	8.0
3	11489	8.0
3	11490	8.0
3	11491	8.0
3	11492	8.0
3	11495	8.0
3	11496	8.0
3	11497	8.0
3	11498	8.0
3	11499	8.0
3	11500	8.0
3	11501	8.0
3	11502	8.0
3	11504	8.0
3	11512	8.0
3	11513	8.0
3	11514	8.0
3	11515	8.0
3	11516	8.0
3	11517	8.0
3	11518	8.0
3	11519	8.0
3	11520	8.0
3	11522	8.0
3	11529	8.0
3	11532	8.0
3	11533	8.0
3	11534	8.0
3	11535	8.0
3	11536	8.0
3	11537	8.0
3	11538	8.0
3	11539	8.0
3	11540	8.0
3	11541	8.0
3	11542	8.0
3	11544	8.0
3	11545	8.0
3	11546	8.0
3	11548	8.0
3	11852	5.0
3	11853	3.0
3	11854	2.0
3	11855	5.0
3	11856	4.0
3	11857	2.0
3	11858	3.0
3	11859	2.0
3	11861	4.0
3	11863	3.0
3	11933	3.0
4	11287	5.0
4	11298	5.0
4	11302	3.0
4	11303	2.0
4	11304	4.0
4	11305	5.0
4	11306	5.0
4	11307	2.0
4	11308	4.0
4	11350	4.0
4	11548	8.0
4	11549	8.0
4	11550	8.0
4	11551	8.0
4	11552	8.0
4	11553	8.0
4	11554	8.0
4	11555	8.0
4	11556	8.0
4	11564	8.0
4	11565	8.0
4	11566	8.0
4	11567	8.0
4	11568	8.0
4	11569	8.0
4	11571	8.0
4	11572	8.0
4	11576	8.0
4	11592	8.0
4	11593	8.0
4	11595	8.0
4	11596	8.0
4	11600	8.0
4	11601	8.0
4	11602	8.0
4	11603	8.0
4	11604	8.0
4	11605	8.0
4	11606	8.0
4	11607	8.0
4	11608	8.0
4	11609	8.0
4	11610	8.0
4	11611	8.0
4	11614	8.0
4	11615	8.0
4	11622	8.0
4	11624	8.0
4	11625	8.0
4	11628	8.0
4	11629	8.0
4	11630	8.0
4	11632	8.0
4	11634	8.0
4	11636	8.0
4	11637	8.0
4	11639	8.0
4	11640	8.0
4	11641	8.0
4	11642	8.0
4	11643	8.0
4	11647	8.0
4	11648	8.0
4	11650	8.0
4	11651	8.0
4	11652	8.0
4	11655	8.0
4	11656	8.0
4	11657	8.0
4	11658	8.0
4	11666	8.0
4	11668	8.0
4	11669	8.0
4	11670	8.0
4	11671	8.0
4	11674	8.0
4	11676	8.0
4	11677	8.0
4	11682	8.0
4	11684	8.0
4	11685	8.0
4	11686	8.0
4	11687	8.0
4	11688	8.0
4	11689	8.0
4	11690	8.0
4	11691	8.0
4	11692	8.0
4	11694	8.0
4	11695	8.0
4	11697	8.0
4	11698	8.0
4	11699	8.0
4	11700	8.0
4	11701	8.0
4	11702	8.0
4	11704	8.0
4	11705	8.0
4	11717	8.0
4	11720	8.0
4	11722	8.0
4	11727	8.0
4	11728	8.0
4	11730	8.0
4	11731	8.0
4	11732	8.0
4	11733	8.0
4	11735	8.0
4	11736	8.0
4	11737	8.0
4	11739	8.0
4	11852	2.0
4	11853	4.0
4	11854	2.0
4	11855	2.0
4	11856	5.0
4	11857	5.0
4	11858	4.0
4	11859	4.0
4	11861	2.0
4	11863	5.0
4	11933	2.0
5	11287	2.0
5	11298	2.0
5	11302	3.0
5	11303	5.0
5	11304	3.0
5	11305	2.0
5	11306	4.0
5	11307	2.0
5	11308	2.0
5	11350	5.0
5	11739	8.0
5	11740	8.0
5	11743	8.0
5	11744	8.0
5	11745	8.0
5	11746	8.0
5	11747	8.0
5	11749	8.0
5	11750	8.0
5	11752	8.0
5	11753	8.0
5	11754	8.0
5	11757	8.0
5	11758	8.0
5	11761	8.0
5	11763	8.0
5	11764	8.0
5	11765	8.0
5	11766	8.0
5	11767	8.0
5	11768	8.0
5	11769	8.0
5	11770	8.0
5	11771	8.0
5	11772	8.0
5	11773	8.0
5	11774	8.0
5	11775	8.0
5	11776	8.0
5	11777	8.0
5	11778	8.0
5	11781	8.0
5	11782	8.0
5	11783	8.0
5	11784	8.0
5	11785	8.0
5	11787	8.0
5	11789	8.0
5	11790	8.0
5	11792	8.0
5	11793	8.0
5	11796	8.0
5	11797	8.0
5	11798	8.0
5	11799	8.0
5	11800	8.0
5	11801	8.0
5	11803	8.0
5	11804	8.0
5	11806	8.0
5	11807	8.0
5	11808	8.0
5	11810	8.0
5	11811	8.0
5	11812	8.0
5	11813	8.0
5	11814	8.0
5	11815	8.0
5	11816	8.0
5	11818	8.0
5	11819	8.0
5	11820	8.0
5	11821	8.0
5	11826	8.0
5	11827	8.0
5	11828	8.0
5	11829	8.0
5	11830	8.0
5	11831	8.0
5	11832	8.0
5	11833	8.0
5	11834	8.0
5	11835	8.0
5	11836	8.0
5	11837	8.0
5	11838	8.0
5	11839	8.0
5	11840	8.0
5	11841	8.0
5	11842	8.0
5	11843	8.0
5	11844	8.0
5	11845	8.0
5	11846	8.0
5	11847	8.0
5	11848	8.0
5	11849	8.0
5	11850	8.0
5	11851	8.0
5	11852	2.0
5	11853	2.0
5	11854	5.0
5	11855	3.0
5	11856	4.0
5	11857	4.0
5	11858	4.0
5	11859	3.0
5	11861	2.0
5	11863	5.0
5	11933	2.0
6	11287	5.0
6	11298	5.0
6	11302	5.0
6	11303	5.0
6	11304	5.0
6	11305	5.0
6	11306	5.0
6	11307	3.0
6	11308	4.0
6	11350	4.0
6	11352	8.0
6	11354	8.0
6	11358	8.0
6	11363	8.0
6	11364	8.0
6	11370	8.0
6	11409	8.0
6	11416	8.0
6	11418	8.0
6	11419	8.0
6	11421	8.0
6	11423	8.0
6	11425	8.0
6	11426	8.0
6	11428	8.0
6	11429	8.0
6	11430	8.0
6	11431	8.0
6	11432	8.0
6	11433	8.0
6	11434	8.0
6	11435	8.0
6	11438	8.0
6	11440	8.0
6	11441	8.0
6	11443	8.0
6	11444	8.0
6	11447	8.0
6	11448	8.0
6	11449	8.0
6	11450	8.0
6	11451	8.0
6	11452	8.0
6	11459	8.0
6	11461	8.0
6	11464	8.0
6	11465	8.0
6	11468	8.0
6	11470	8.0
6	11471	8.0
6	11472	8.0
6	11474	8.0
6	11475	8.0
6	11477	8.0
6	11479	8.0
6	11480	8.0
6	11481	8.0
6	11482	8.0
6	11484	8.0
6	11486	8.0
6	11487	8.0
6	11488	8.0
6	11489	8.0
6	11490	8.0
6	11491	8.0
6	11492	8.0
6	11495	8.0
6	11496	8.0
6	11497	8.0
6	11498	8.0
6	11499	8.0
6	11500	8.0
6	11501	8.0
6	11502	8.0
6	11504	8.0
6	11512	8.0
6	11513	8.0
6	11514	8.0
6	11515	8.0
6	11516	8.0
6	11517	8.0
6	11518	8.0
6	11519	8.0
6	11520	8.0
6	11522	8.0
6	11529	8.0
6	11532	8.0
6	11533	8.0
6	11534	8.0
6	11535	8.0
6	11536	8.0
6	11537	8.0
6	11538	8.0
6	11539	8.0
6	11540	8.0
6	11541	8.0
6	11542	8.0
6	11544	8.0
6	11545	8.0
6	11546	8.0
6	11548	8.0
6	11852	3.0
6	11853	3.0
6	11854	2.0
6	11855	4.0
6	11856	5.0
6	11857	2.0
6	11858	3.0
6	11859	3.0
6	11861	5.0
6	11863	2.0
6	11933	5.0
7	11287	4.0
7	11298	5.0
7	11302	5.0
7	11303	3.0
7	11304	2.0
7	11305	4.0
7	11306	2.0
7	11307	3.0
7	11308	2.0
7	11350	2.0
7	11548	8.0
7	11549	8.0
7	11550	8.0
7	11551	8.0
7	11552	8.0
7	11553	8.0
7	11554	8.0
7	11555	8.0
7	11556	8.0
7	11564	8.0
7	11565	8.0
7	11566	8.0
7	11567	8.0
7	11568	8.0
7	11569	8.0
7	11571	8.0
7	11572	8.0
7	11576	8.0
7	11592	8.0
7	11593	8.0
7	11595	8.0
7	11596	8.0
7	11600	8.0
7	11601	8.0
7	11602	8.0
7	11603	8.0
7	11604	8.0
7	11605	8.0
7	11606	8.0
7	11607	8.0
7	11608	8.0
7	11609	8.0
7	11610	8.0
7	11611	8.0
7	11614	8.0
7	11615	8.0
7	11622	8.0
7	11624	8.0
7	11625	8.0
7	11628	8.0
7	11629	8.0
7	11630	8.0
7	11632	8.0
7	11634	8.0
7	11636	8.0
7	11637	8.0
7	11639	8.0
7	11640	8.0
7	11641	8.0
7	11642	8.0
7	11643	8.0
7	11647	8.0
7	11648	8.0
7	11650	8.0
7	11651	8.0
7	11652	8.0
7	11655	8.0
7	11656	8.0
7	11657	8.0
7	11658	8.0
7	11666	8.0
7	11668	8.0
7	11669	8.0
7	11670	8.0
7	11671	8.0
7	11674	8.0
7	11676	8.0
7	11677	8.0
7	11682	8.0
7	11684	8.0
7	11685	8.0
7	11686	8.0
7	11687	8.0
7	11688	8.0
7	11689	8.0
7	11690	8.0
7	11691	8.0
7	11692	8.0
7	11694	8.0
7	11695	8.0
7	11697	8.0
7	11698	8.0
7	11699	8.0
7	11700	8.0
7	11701	8.0
7	11702	8.0
7	11704	8.0
7	11705	8.0
7	11717	8.0
7	11720	8.0
7	11722	8.0
7	11727	8.0
7	11728	8.0
7	11730	8.0
7	11731	8.0
7	11732	8.0
7	11733	8.0
7	11735	8.0
7	11736	8.0
7	11737	8.0
7	11739	8.0
7	11852	2.0
7	11853	5.0
7	11854	2.0
7	11855	3.0
7	11856	2.0
7	11857	3.0
7	11858	2.0
7	11859	3.0
7	11861	2.0
7	11863	5.0
7	11933	5.0
8	11287	3.0
8	11298	2.0
8	11302	5.0
8	11303	4.0
8	11304	5.0
8	11305	5.0
8	11306	5.0
8	11307	4.0
8	11308	2.0
8	11350	2.0
8	11739	8.0
8	11740	8.0
8	11743	8.0
8	11744	8.0
8	11745	8.0
8	11746	8.0
8	11747	8.0
8	11749	8.0
8	11750	8.0
8	11752	8.0
8	11753	8.0
8	11754	8.0
8	11757	8.0
8	11758	8.0
8	11761	8.0
8	11763	8.0
8	11764	8.0
8	11765	8.0
8	11766	8.0
8	11767	8.0
8	11768	8.0
8	11769	8.0
8	11770	8.0
8	11771	8.0
8	11772	8.0
8	11773	8.0
8	11774	8.0
8	11775	8.0
8	11776	8.0
8	11777	8.0
8	11778	8.0
8	11781	8.0
8	11782	8.0
8	11783	8.0
8	11784	8.0
8	11785	8.0
8	11787	8.0
8	11789	8.0
8	11790	8.0
8	11792	8.0
8	11793	8.0
8	11796	8.0
8	11797	8.0
8	11798	8.0
8	11799	8.0
8	11800	8.0
8	11801	8.0
8	11803	8.0
8	11804	8.0
8	11806	8.0
8	11807	8.0
8	11808	8.0
8	11810	8.0
8	11811	8.0
8	11812	8.0
8	11813	8.0
8	11814	8.0
8	11815	8.0
8	11816	8.0
8	11818	8.0
8	11819	8.0
8	11820	8.0
8	11821	8.0
8	11826	8.0
8	11827	8.0
8	11828	8.0
8	11829	8.0
8	11830	8.0
8	11831	8.0
8	11832	8.0
8	11833	8.0
8	11834	8.0
8	11835	8.0
8	11836	8.0
8	11837	8.0
8	11838	8.0
8	11839	8.0
8	11840	8.0
8	11841	8.0
8	11842	8.0
8	11843	8.0
8	11844	8.0
8	11845	8.0
8	11846	8.0
8	11847	8.0
8	11848	8.0
8	11849	8.0
8	11850	8.0
8	11851	8.0
8	11852	2.0
8	11853	5.0
8	11854	3.0
8	11855	2.0
8	11856	2.0
8	11857	2.0
8	11858	3.0
8	11859	5.0
8	11861	3.0
8	11863	4.0
8	11933	5.0
9	11287	3.0
9	11298	3.0
9	11302	2.0
9	11303	3.0
9	11304	2.0
9	11305	2.0
9	11306	4.0
9	11307	4.0
9	11308	2.0
9	11350	2.0
9	11352	8.0
9	11354	8.0
9	11358	8.0
9	11363	8.0
9	11364	8.0
9	11370	8.0
9	11409	8.0
9	11416	8.0
9	11418	8.0
9	11419	8.0
9	11421	8.0
9	11423	8.0
9	11425	8.0
9	11426	8.0
9	11428	8.0
9	11429	8.0
9	11430	8.0
9	11431	8.0
9	11432	8.0
9	11433	8.0
9	11434	8.0
9	11435	8.0
9	11438	8.0
9	11440	8.0
9	11441	8.0
9	11443	8.0
9	11444	8.0
9	11447	8.0
9	11448	8.0
9	11449	8.0
9	11450	8.0
9	11451	8.0
9	11452	8.0
9	11459	8.0
9	11461	8.0
9	11464	8.0
9	11465	8.0
9	11468	8.0
9	11470	8.0
9	11471	8.0
9	11472	8.0
9	11474	8.0
9	11475	8.0
9	11477	8.0
9	11479	8.0
9	11480	8.0
9	11481	8.0
9	11482	8.0
9	11484	8.0
9	11486	8.0
9	11487	8.0
9	11488	8.0
9	11489	8.0
9	11490	8.0
9	11491	8.0
9	11492	8.0
9	11495	8.0
9	11496	8.0
9	11497	8.0
9	11498	8.0
9	11499	8.0
9	11500	8.0
9	11501	8.0
9	11502	8.0
9	11504	8.0
9	11512	8.0
9	11513	8.0
9	11514	8.0
9	11515	8.0
9	11516	8.0
9	11517	8.0
9	11518	8.0
9	11519	8.0
9	11520	8.0
9	11522	8.0
9	11529	8.0
9	11532	8.0
9	11533	8.0
9	11534	8.0
9	11535	8.0
9	11536	8.0
9	11537	8.0
9	11538	8.0
9	11539	8.0
9	11540	8.0
9	11541	8.0
9	11542	8.0
9	11544	8.0
9	11545	8.0
9	11546	8.0
9	11548	8.0
9	11852	4.0
9	11853	3.0
9	11854	5.0
9	11855	2.0
9	11856	4.0
9	11857	5.0
9	11858	4.0
9	11859	3.0
9	11861	5.0
9	11863	3.0
9	11933	4.0
10	11287	5.0
10	11298	2.0
10	11302	5.0
10	11303	2.0
10	11304	4.0
10	11305	3.0
10	11306	2.0
10	11307	2.0
10	11308	4.0
10	11350	4.0
10	11548	8.0
10	11549	8.0
10	11550	8.0
10	11551	8.0
10	11552	8.0
10	11553	8.0
10	11554	8.0
10	11555	8.0
10	11556	8.0
10	11564	8.0
10	11565	8.0
10	11566	8.0
10	11567	8.0
10	11568	8.0
10	11569	8.0
10	11571	8.0
10	11572	8.0
10	11576	8.0
10	11592	8.0
10	11593	8.0
10	11595	8.0
10	11596	8.0
10	11600	8.0
10	11601	8.0
10	11602	8.0
10	11603	8.0
10	11604	8.0
10	11605	8.0
10	11606	8.0
10	11607	8.0
10	11608	8.0
10	11609	8.0
10	11610	8.0
10	11611	8.0
10	11614	8.0
10	11615	8.0
10	11622	8.0
10	11624	8.0
10	11625	8.0
10	11628	8.0
10	11629	8.0
10	11630	8.0
10	11632	8.0
10	11634	8.0
10	11636	8.0
10	11637	8.0
10	11639	8.0
10	11640	8.0
10	11641	8.0
10	11642	8.0
10	11643	8.0
10	11647	8.0
10	11648	8.0
10	11650	8.0
10	11651	8.0
10	11652	8.0
10	11655	8.0
10	11656	8.0
10	11657	8.0
10	11658	8.0
10	11666	8.0
10	11668	8.0
10	11669	8.0
10	11670	8.0
10	11671	8.0
10	11674	8.0
10	11676	8.0
10	11677	8.0
10	11682	8.0
10	11684	8.0
10	11685	8.0
10	11686	8.0
10	11687	8.0
10	11688	8.0
10	11689	8.0
10	11690	8.0
10	11691	8.0
10	11692	8.0
10	11694	8.0
10	11695	8.0
10	11697	8.0
10	11698	8.0
10	11699	8.0
10	11700	8.0
10	11701	8.0
10	11702	8.0
10	11704	8.0
10	11705	8.0
10	11717	8.0
10	11720	8.0
10	11722	8.0
10	11727	8.0
10	11728	8.0
10	11730	8.0
10	11731	8.0
10	11732	8.0
10	11733	8.0
10	11735	8.0
10	11736	8.0
10	11737	8.0
10	11739	8.0
10	11852	5.0
10	11853	2.0
10	11854	5.0
10	11855	5.0
10	11856	4.0
10	11857	4.0
10	11858	3.0
10	11859	4.0
10	11861	4.0
10	11863	2.0
10	11933	5.0
11	11287	2.0
11	11298	5.0
11	11302	4.0
11	11303	4.0
11	11304	3.0
11	11305	2.0
11	11306	3.0
11	11307	2.0
11	11308	5.0
11	11350	3.0
11	11739	8.0
11	11740	8.0
11	11743	8.0
11	11744	8.0
11	11745	8.0
11	11746	8.0
11	11747	8.0
11	11749	8.0
11	11750	8.0
11	11752	8.0
11	11753	8.0
11	11754	8.0
11	11757	8.0
11	11758	8.0
11	11761	8.0
11	11763	8.0
11	11764	8.0
11	11765	8.0
11	11766	8.0
11	11767	8.0
11	11768	8.0
11	11769	8.0
11	11770	8.0
11	11771	8.0
11	11772	8.0
11	11773	8.0
11	11774	8.0
11	11775	8.0
11	11776	8.0
11	11777	8.0
11	11778	8.0
11	11781	8.0
11	11782	8.0
11	11783	8.0
11	11784	8.0
11	11785	8.0
11	11787	8.0
11	11789	8.0
11	11790	8.0
11	11792	8.0
11	11793	8.0
11	11796	8.0
11	11797	8.0
11	11798	8.0
11	11799	8.0
11	11800	8.0
11	11801	8.0
11	11803	8.0
11	11804	8.0
11	11806	8.0
11	11807	8.0
11	11808	8.0
11	11810	8.0
11	11811	8.0
11	11812	8.0
11	11813	8.0
11	11814	8.0
11	11815	8.0
11	11816	8.0
11	11818	8.0
11	11819	8.0
11	11820	8.0
11	11821	8.0
11	11826	8.0
11	11827	8.0
11	11828	8.0
11	11829	8.0
11	11830	8.0
11	11831	8.0
11	11832	8.0
11	11833	8.0
11	11834	8.0
11	11835	8.0
11	11836	8.0
11	11837	8.0
11	11838	8.0
11	11839	8.0
11	11840	8.0
11	11841	8.0
11	11842	8.0
11	11843	8.0
11	11844	8.0
11	11845	8.0
11	11846	8.0
11	11847	8.0
11	11848	8.0
11	11849	8.0
11	11850	8.0
11	11851	8.0
11	11852	3.0
11	11853	3.0
11	11854	2.0
11	11855	4.0
11	11856	3.0
11	11857	3.0
11	11858	3.0
11	11859	3.0
11	11861	5.0
11	11863	3.0
11	11933	3.0
12	11287	4.0
12	11298	4.0
12	11302	5.0
12	11303	2.0
12	11304	2.0
12	11305	2.0
12	11306	5.0
12	11307	3.0
12	11308	3.0
12	11350	4.0
12	11352	8.0
12	11354	8.0
12	11358	8.0
12	11363	8.0
12	11364	8.0
12	11370	8.0
12	11409	8.0
12	11416	8.0
12	11418	8.0
12	11419	8.0
12	11421	8.0
12	11423	8.0
12	11425	8.0
12	11426	8.0
12	11428	8.0
12	11429	8.0
12	11430	8.0
12	11431	8.0
12	11432	8.0
12	11433	8.0
12	11434	8.0
12	11435	8.0
12	11438	8.0
12	11440	8.0
12	11441	8.0
12	11443	8.0
12	11444	8.0
12	11447	8.0
12	11448	8.0
12	11449	8.0
12	11450	8.0
12	11451	8.0
12	11452	8.0
12	11459	8.0
12	11461	8.0
12	11464	8.0
12	11465	8.0
12	11468	8.0
12	11470	8.0
12	11471	8.0
12	11472	8.0
12	11474	8.0
12	11475	8.0
12	11477	8.0
12	11479	8.0
12	11480	8.0
12	11481	8.0
12	11482	8.0
12	11484	8.0
12	11486	8.0
12	11487	8.0
12	11488	8.0
12	11489	8.0
12	11490	8.0
12	11491	8.0
12	11492	8.0
12	11495	8.0
12	11496	8.0
12	11497	8.0
12	11498	8.0
12	11499	8.0
12	11500	8.0
12	11501	8.0
12	11502	8.0
12	11504	8.0
12	11512	8.0
12	11513	8.0
12	11514	8.0
12	11515	8.0
12	11516	8.0
12	11517	8.0
12	11518	8.0
12	11519	8.0
12	11520	8.0
12	11522	8.0
12	11529	8.0
12	11532	8.0
12	11533	8.0
12	11534	8.0
12	11535	8.0
12	11536	8.0
12	11537	8.0
12	11538	8.0
12	11539	8.0
12	11540	8.0
12	11541	8.0
12	11542	8.0
12	11544	8.0
12	11545	8.0
12	11546	8.0
12	11548	8.0
12	11852	2.0
12	11853	2.0
12	11854	5.0
12	11855	5.0
12	11856	2.0
12	11857	3.0
12	11858	4.0
12	11859	3.0
12	11861	2.0
12	11863	5.0
12	11933	2.0
13	11287	5.0
13	11298	2.0
13	11302	3.0
13	11303	4.0
13	11304	4.0
13	11305	3.0
13	11306	3.0
13	11307	3.0
13	11308	5.0
13	11350	3.0
13	11548	8.0
13	11549	8.0
13	11550	8.0
13	11551	8.0
13	11552	8.0
13	11553	8.0
13	11554	8.0
13	11555	8.0
13	11556	8.0
13	11564	8.0
13	11565	8.0
13	11566	8.0
13	11567	8.0
13	11568	8.0
13	11569	8.0
13	11571	8.0
13	11572	8.0
13	11576	8.0
13	11592	8.0
13	11593	8.0
13	11595	8.0
13	11596	8.0
13	11600	8.0
13	11601	8.0
13	11602	8.0
13	11603	8.0
13	11604	8.0
13	11605	8.0
13	11606	8.0
13	11607	8.0
13	11608	8.0
13	11609	8.0
13	11610	8.0
13	11611	8.0
13	11614	8.0
13	11615	8.0
13	11622	8.0
13	11624	8.0
13	11625	8.0
13	11628	8.0
13	11629	8.0
13	11630	8.0
13	11632	8.0
13	11634	8.0
13	11636	8.0
13	11637	8.0
13	11639	8.0
13	11640	8.0
13	11641	8.0
